date,town,location,origin,species,sex,age,band,background,treat,lead1,emoq1,mass1,tarsus,wc,lead2,emoq2,mass2,genetic,cage ,water,mas3,runs_n,runs_sec,runs day,alad sample,cell,blood sample volume for oroboros,emoq3,band,leadcare3,leadcare4,chamber,Routine,leak,oxphos,ETS,FCR,OxCe,Oroboros comments,TE,TOF,ALAD,TotalMovement,Frames,CSAL,band,CSAbad,CSA,Bone_Lead,CSA_liv,LN(lead2),formula,lead2c,LN(lead1),formula1,lead1c
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,91672,contamhigh,ctr,9.7,192,23.4,20.4,68.95,4.8,187,22.086,ok,15a,35,22.33,26,270,1,v,6.55,50,188,91672,,,a,20.09198,2.50207216,17.58990784,88.57786564,0.22682845,0.87546911,,0.110915212,0.33444414,0.028,3004720,44998,15.92,91672,26.72623094,2.585649644,541,15.92150462,1.568615918,2.570578894,13.07339035,2.272125886,3.140421967,23.11361799
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,91673,contamhigh,ctr,5.4,188,23.88,20.28,72.29,NA,209,26.819,ok,40a,35,24.045,4,33,2,v,6.93,50,216,91673,1.9,,b,15.45337264,3.20011168,12.25326096,69.46737088,0.222455125,0.792918235,,0.106678006,0.268516549,0.013,5605525,44998,15.8,91673,,8.56922422,172,15.8,#VALUE!,#VALUE!,#VALUE!,1.686398954,2.665983152,14.38208238
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,91674,contamhigh,ctr,8.7,189,23,20.04,69.73,NA,184,22.885,ok,36a,35,23.364,3,30,2,v,5.48,50,184,91674,,,a,18.89026078,4.19227964,14.69798114,67.66838068,0.279159344,0.778071902,,0.09043158,0.219925906,0.08,3209,44998,14.9,91674,,8.968287751,307,16.13652461,#VALUE!,#VALUE!,#VALUE!,2.163323026,3.052291651,21.16378891
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,91675,contamhigh,trt,12.4,170,22.69,18.76,69.7,13.8,193,23.709,ok,1a,27.23,24.711,11,115,1,v,3.26,50,179,91675,,,b,17.38521232,4.2631836,13.12202872,61.50793792,0.282649897,0.754781045,,0.101691155,0.246723823,,683476,44998,,91675,32.45605516,7.691284452,383,,2.624668592,3.42598156,30.75281576,2.517696473,3.339334143,28.20034305
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,91677,contamhigh,ctr,9.7,175,22.34,20.35,70.33,NA,NA,NA,ok,31a,35,NA,NA,NA,NA,NA,,NA,NA,91677,,,NA,NA,NA,NA,NA,NA,NA,,0.062100022,0.194577075,,NA,NA,,91677,,,,,#VALUE!,#VALUE!,#VALUE!,2.272125886,3.140421967,23.11361799
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,91680,contamhigh,trt,11.7,192,21.94,18.73,70.48,12.2,200,20.51,ok,5a,30.74,20.854,15,134,1,v,5.17,50,183,91680,,,b,28.08811656,7.56894488,20.51917168,93.79773824,0.299454092,0.730528572,,0.069479641,0.16890821,,24676670,44998,20.26,91680,29.63970088,7.904118336,668,20.2633485,2.501435952,3.326163121,27.83135105,2.459588842,3.292266962,26.90378443
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,91681,contamhigh,trt,26.4,164,23.04,19.57,71.48,34.1,165,23.022,ok,39a,31.39,24.21,5,52,2,v,4.52,50,151,91681,23.9,13.2,b,20.72926392,3.536346,17.19291792,57.5107296,0.360441679,0.829403204,,0.122774704,0.257226026,0.086,1914120,44998,22.72,91681,,4.390217626,2228,22.71821602,3.529297384,4.158730881,63.99025981,3.27336401,3.951424848,52.00941959
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,91683,contamhigh,ctr,7.9,168,23.29,18.87,72.39,5.9,178,23.994,ok,9a,35,23.331,22,148,1,v,5.1,50,179,91683,,,a,14.36458228,4.38201604,9.98256624,65.49061646,0.219338022,0.694943023,,0.085281526,0.216457737,,1575845,44998,14.34,91683,22.89016218,9.021496222,380,14.34205381,1.774952351,2.737711404,15.45158217,2.066862759,2.974158835,19.57315208
26/05/23,Branxton,pet store,9.3,HOSP,F,ad,91701,free,trt,1.9,187,23.19,20.24,70.93,8.6,190,23.42,ok,5a,30.74,24.038,26,215,1,v,5.725,50,186,91701,,,a,20.62088,4.023076,16.597804,89.99668982,0.229129316,0.804902798,Did it again 30/07 due to Week reaction to uncupler,0.12720392,0.296082198,0.052,1709756,44998,22.22,91701,26.33776828,6.627115037,37,22.22113823,2.151762203,3.042927385,20.96653059,0.641853886,1.819901648,6.171251464
26/05/23,Branxton,pet store,9.3,HOSP,F,ad,91702,free,ctr,1.9,176,25.01,21.35,71.42,3.2,193,24.718,ok,8a,35,24.791,13,106,1,v,9.06,50,195,91702,,,a,18.5123698,4.68519654,13.82717326,81.47305134,0.227220774,0.746915355,,0.062990351,0.212859666,0.091,5273738,44998,27.95,91702,20.75361756,8.86187081,241,27.94759644,1.16315081,2.242152156,9.413568971,0.641853886,1.819901648,6.171251464
26/05/23,Branxton,pet store,9.3,HOSP,F,ad,91703,free,trt,3.6,187,23.28,19.21,70.16,15,188,22.702,ok,1a,27.23,23.346,19,138,1,v,3.82,50,178,91703,,,a,18.97470018,8.62887552,10.34582466,71.25928714,0.266276873,0.545243116,,0.096413437,0.197742742,,1966617,44998,,91703,26.9690201,8.409598808,119,,2.708050201,3.493520663,32.90157941,1.280933845,2.337556415,10.3559001
26/05/23,Branxton,pet store,9.3,HOSP,F,ad,91704,free,ctr,1.9,168,21.57,19.4,70.36,3.8,167,25.683,ok,9a,35,22.789,23,214,1,v,5.55,48,183,91704,,,b,15.23235952,4.45196824,10.78039128,73.04236856,0.208541424,0.707729572,,0.086866135,0.192972461,,1848395,44998,18.78,91704,25.56084296,4.255548373,56,18.78429588,1.335001067,2.381350864,10.81950868,0.641853886,1.819901648,6.171251464
26/05/23,Branxton,pet store,9.3,HOSP,F,ad,91705,free,ctr,1.9,197,22.87,19.93,71.51,3.7,181,22.723,ok,2a,35,23.058,15,157,1,v,5.86,50,162,91705,,,b,10.95590704,2.44585056,8.51005648,58.14799448,0.188414186,0.776755083,,0.098432158,0.226893394,0.03,508974,44998,,91705,23.71564533,6.680323508,174,,1.30833282,2.359749584,10.58829964,0.641853886,1.819901648,6.171251464
26/05/23,Branxton,pet store,9.3,HOSP,F,ad,91706,free,ctr,3.3,194,26.11,21.14,71.92,5.2,209,25.052,ok,4a,35,25.622,36,266,1,v,5.41,50,199,91706,,,b,16.663662,5.41050936,11.25315264,84.06145008,0.198231912,0.675310903,,0.05494539,0.164956212,,46850,44998,,91706,26.09497912,5.79077785,109,,1.648658626,2.635413487,13.94907903,1.193922468,2.267077199,9.65115116
26/05/23,Branxton,pet store,9.3,HOSP,F,ad,91707,free,trt,1.9,170,21.93,19.33,69.55,17.7,178,22.133,ok,7a,35.75,21.725,14,158,1,v,5.16,50,176,91707,,,b,14.49911264,5.48239968,9.01671296,62.4898204,0.232023593,0.62188033,,0.122743585,0.359103714,,428435,44998,20.89,91707,,4.578754579,207,20.89037977,2.87356464,3.627587358,37.62193877,0.641853886,1.819901648,6.171251464
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,92001,contamhigh,trt,18.6,185,24.05,19.86,69.14,20.1,199,23.275,ok,28a,33.22,23.268,10,64,1,v,7.73,50,196,92001,24.6,12,a,19.02514706,4.915705,14.10944206,71.01151866,0.267916352,0.741620657,,0.089586927,0.245593617,,1250234,44998,11.92,92001,29.00844906,7.611471746,1144,11.92,3.000719815,3.73058305,41.70341626,2.923161581,3.66776088,39.16411447
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,92002,contamhigh,trt,18.7,172,24.9,20.36,73.07,23.6,173,24.118,ok,33a,45.62,24.978,12,125,2,v,6.93,50,179,92002,25.8,12.2,b,11.137906,1.87249896,9.26540704,54.81565456,0.203188416,0.83188052,done the first time in chamber a and did not work. Then did it immediately after on chamber b and worked,0.073070866,0.222579113,0.044,4003378,44998,10.52,92002,30.65941536,5.548373195,1033,10.52,3.161246712,3.860609837,47.49430631,2.928523524,3.672104054,39.33458095
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,92003,contamhigh,trt,11.7,197,22.28,18.8,70.42,12.5,207,21.96,ok,12a,25.69,21.543,9,97,1,v,5.4,50,181,92003,,,b,17.99882464,2.40726872,15.59155592,75.80987808,0.237420572,0.866254116,,0.091936791,0.226562247,0.039,160321,44998,,92003,,8.56922422,338,,2.525728644,3.345840202,28.38441429,2.459588842,3.292266962,26.90378443
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,92006,contamhigh,trt,21.2,163,21.59,18.5,68.36,22.7,178,21.14,ok,7a,35.75,21.051,8,83,1,v,4.92,50,176,92006,,,a,17.64307,3.84998,13.79309,67.676102,0.260698673,0.781785143,repeated it again on 30/07 due to Weird reaction to uncoupler,0.073847477,0.236527339,0.064,1497651,44998,22.08,92006,,,1152,22.07533478,3.122364924,3.829115589,46.02181802,3.054001182,3.773740957,43.54265173
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,92010,contamhigh,trt,9.8,203,21.58,18.63,69.74,21.1,200,20.369,ok,3a,42.81,21.671,6,109,1,v,4.28,50,195,92010,,,a,22.40951082,5.47224334,16.93726748,76.90898738,0.29137701,0.755807104,,0.093579745,0.234650604,0.049,92849,44998,11.19,92010,26.33776828,7.717888688,953,11.19167862,3.04927304,3.769911163,43.37621124,2.282382386,3.148729732,23.30644035
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,92011,contamhigh,ctr,8.2,190,25.25,19.61,74.2,2.2,206,24.244,ok,38a,35,24.455,15,120,2,v,6.83,50,204,92011,,,a,15.23844262,4.30406118,10.93438144,66.73117032,0.228355693,0.717552424,,0.065841736,0.158123744,0.042,1401399,44998,14.29,92011,,6.1482388,789,14.29,0.78845736,1.938650462,6.949366205,2.104134154,3.004348665,20.17307239
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,92013,contamhigh,trt,9,186,22.23,19.34,72.5,10.5,173,21.499,ok,21a,31.66,21.088,7,97,1,v,5.84,50,170,92013,,,a,22.65008212,5.35117088,17.29891124,82.65638436,0.274027013,0.763746072,,0.068064458,0.176861322,0.065,3544188,44998,15.03,92013,18.4228416,4.524886878,616,15.03052332,2.351375257,3.204613958,24.6459838,2.197224577,3.079751908,21.75300497
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,92014,contamhigh,ctr,12.5,187,21.19,18.59,72.75,4.4,200,20.124,ok,8a,35,20.44,10,84,1,v,4.49,50,200,92014,,,b,16.9516,4.209936,12.741664,68.94623326,0.245866949,0.751649638,did it again on 30/07 due to week reaction to uncupler,0.091641803,0.218475581,,3925117,44998,19.53,92014,19.15120909,8.196764925,1255,19.52891902,1.481604541,2.500099678,12.18370835,2.525728644,3.345840202,28.38441429
22/05/23,Broken Hill,Chettle,69.6,HOSP,F,ad,92015,contamhigh,ctr,4,196,25.13,19.82,74.28,1.9,185,24.945,ok,27a,35,25.435,10,144,1,v,7.1,50,201,92015,,,b,19.55946752,3.8456336,15.71383392,82.6307004,0.236709448,0.803387613,,0.1030518,0.188203178,0.058,2217886,44998,,92015,17.01466447,4.605193147,705,,0.641853886,1.819901648,6.171251464,1.386294361,2.422898433,11.27850196
23/05/23,Broken Hill,Thad,15.1,HOSP,F,ad,92027,contamlow,trt,NA,187,23.7,18.58,71.54,11.6,193,22.762,ok,32a,51.5,24.041,6,72,2,v,6.85,50,179,92027,11.6,3.4,a,14.67877026,3.69056912,10.98820114,52.9592777,0.277170892,0.748577772,,0.072185384,0.197420091,0.035,4072910,44998,17.03,92027,30.07672138,8.462807279,128,13.81,2.451005098,3.285314129,26.71737571,#VALUE!,#VALUE!,#VALUE!
